fval = 2072.404979
 FCN=2072.4 FROM MIGRAD    STATUS=CONVERGED    1052 CALLS        1053 TOTAL
                     EDM=1.64419e-05    STRATEGY= 1      ERROR MATRIX ACCURATE 
  EXT PARAMETER                                   STEP         FIRST   
  NO.   NAME      VALUE            ERROR          SIZE      DERIVATIVE 
   1  c1c3_1       2.18261e+00   3.39306e-01   4.14556e-04   5.67098e-02
   2  c1c3_2       2.99392e+00   4.38256e-01   4.69921e-04  -1.47521e-02
   3  c1c3_3       3.38804e+00   4.83044e-01   4.91084e-04  -4.03782e-02
   4  c1c3_4       3.06383e+00   4.48430e-01   4.79211e-04   6.50349e-03
   5  c1c3_5       3.25689e+00   4.59077e-01   3.93743e-04  -1.83469e-02
   6  c1c3_6       3.50552e+00   4.79619e-01   3.24431e-04  -4.82627e-02
   7  c1c3_7       3.35282e+00   4.56305e-01   2.33361e-04   4.48617e-02
   8  tt_c1c3_1    1.65741e-07   3.32817e-02   1.81375e-03** at limit **
   9  tt_c1c3_2    5.70544e-01   1.41671e-01   5.49922e-04  -1.85310e-03
  10  tt_c1c3_3    7.97716e-01   1.57062e-01   4.32082e-04  -7.14188e-02
  11  tt_c1c3_4    8.66230e-01   1.65000e-01   4.19012e-04   2.00969e-02
  12  tt_c1c3_5    9.61501e-01   1.77611e-01   4.36816e-04   4.58158e-02
  13  tt_c1c3_6    9.80861e-01   1.83573e-01   4.89758e-04  -2.57245e-02
  14  tt_c1c3_7    1.03162e+00   1.95651e-01   5.27832e-04  -1.35995e-02
  15  t1           2.93804e-01   3.43910e-02   1.05499e-04  -1.75259e-01
  16  t3           2.46828e+00   1.04229e-02   6.87954e-05   1.89239e-01
  17  sig          4.36355e-01   8.66885e-03   3.15714e-05   4.27203e-01
  18  t0_dd        8.78280e-02   2.25074e-02   1.79107e-05  -1.18259e+00
  19  t0_tt       -2.27579e-01   1.72228e-02   2.47579e-05  -1.76225e-02
