fval = 1382.459474
 FCN=1382.46 FROM MIGRAD    STATUS=CONVERGED     826 CALLS         827 TOTAL
                     EDM=9.01082e-06    STRATEGY= 1      ERROR MATRIX ACCURATE 
  EXT PARAMETER                                   STEP         FIRST   
  NO.   NAME      VALUE            ERROR          SIZE      DERIVATIVE 
   1  c1c3_1       2.19033e+00   2.23889e-01   3.58744e-04   4.27676e-02
   2  c1c3_2       2.02670e+00   2.14331e-01   3.59618e-04   2.73576e-02
   3  c1c3_3       1.92337e+00   1.97127e-01   2.99748e-04  -5.59390e-02
   4  c1c3_4       2.52021e+00   1.73411e-01   2.53079e-04   2.90764e-02
   5  c1c3_5       2.12648e+00   1.97791e-01   2.22185e-04   6.03370e-02
   6  c1c3_6       2.19781e+00   2.01279e-01   2.14844e-04   7.07626e-02
   7  tt_c1c3_1    7.95304e-01   1.46392e-01   3.22206e-04  -7.19617e-02
   8  tt_c1c3_2    1.01384e+00   1.55612e-01   2.90247e-04  -1.15562e-02
   9  tt_c1c3_3    1.00150e+00   1.53586e-01   3.05612e-04  -2.51750e-02
  10  tt_c1c3_4    1.12173e+00   1.58098e-01   3.55106e-04  -9.92108e-03
  11  tt_c1c3_5    1.12650e+00   1.76571e-01   4.15159e-04  -5.17614e-02
  12  tt_c1c3_6    9.95817e-01   2.01816e-01   6.38676e-04  -7.69381e-03
  13  t1           3.63878e-01   2.33729e-02   1.29499e-04   1.76737e-01
  14  t3           2.39880e+00   1.53185e-02   7.64977e-05  -5.77648e-01
  15  sig          3.45915e-01   1.08323e-02   3.25962e-05   4.03151e-01
  16  t0_dd       -1.19060e-01   1.56594e-02   1.53066e-05  -6.30048e-01
  17  t0_tt       -3.04844e-02   1.96471e-02   2.17629e-05   8.73526e-01
  18  t3_tt        2.54582e+00   1.66405e-02   9.69869e-05   3.02044e-01
